t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
0.22,5.09316,3.85362,0.423499,-0.665242,10.0725,3.65628,0.329711,-1.56225,15.0739,3.95422,0.335681,-0.207938,4.82754,8.29072,-0.783886,1.32153,9.95768,8.24006,-0.19232,1.09135,14.7261,8.03917,-1.24517,0.178148,4.85085,12.1696,-0.677923,0.771073,10.3851,11.8808,1.7505,-0.54223,14.7923,11.7623,-0.944017,-1.08076,5.16815,16.2074,0.764332,0.94278
0.23,5.0974,3.84697,0.423502,-0.665235,10.0758,3.64066,0.329711,-1.56224,15.0772,3.95214,0.335676,-0.207925,4.8197,8.30393,-0.783882,1.32155,9.95576,8.25098,-0.192315,1.09137,14.7136,8.04096,-1.24517,0.178161,4.84407,12.1774,-0.67792,0.771068,10.4026,11.8753,1.7505,-0.542258,14.7829,11.7515,-0.944026,-1.08079,5.1758,16.2169,0.764331,0.942766
0.24,5.10163,3.84032,0.423505,-0.665228,10.0791,3.62504,0.329711,-1.56223,15.0806,3.95006,0.335672,-0.207913,4.81186,8.31715,-0.783878,1.32156,9.95384,8.26189,-0.192309,1.0914,14.7012,8.04274,-1.24517,0.178174,4.83729,12.1851,-0.677917,0.771062,10.4201,11.8699,1.7505,-0.542287,14.7735,11.7407,-0.944035,-1.08081,5.18344,16.2263,0.764331,0.942752
0.25,5.10587,3.83367,0.423508,-0.665222,10.0824,3.60942,0.329711,-1.56223,15.0839,3.94798,0.335667,-0.2079,4.80402,8.33036,-0.783875,1.32157,9.95191,8.2728,-0.192303,1.09142,14.6887,8.04452,-1.24518,0.178189,4.83051,12.1928,-0.677915,0.771056,10.4376,11.8645,1.75051,-0.542316,14.764,11.7299,-0.944045,-1.08084,5.19108,16.2357,0.76433,0.942739
0.26,5.1101,3.82701,0.423512,-0.665215,10.0857,3.5938,0.329711,-1.56222,15.0873,3.9459,0.335663,-0.207888,4.79618,8.34358,-0.783871,1.32158,9.94999,8.28372,-0.192297,1.09145,14.6763,8.0463,-1.24518,0.178204,4.82373,12.2005,-0.677912,0.77105,10.4551,11.8591,1.75051,-0.542347,14.7546,11.7191,-0.944055,-1.08087,5.19873,16.2452,0.764329,0.942725
0.27,5.11434,3.82036,0.423515,-0.665209,10.089,3.57817,0.329711,-1.56221,15.0906,3.94383,0.335658,-0.207876,4.78834,8.3568,-0.783867,1.3216,9.94807,8.29463,-0.19229,1.09147,14.6638,8.04808,-1.24519,0.178219,4.81695,12.2082,-0.677909,0.771043,10.4726,11.8537,1.75051,-0.542378,14.7451,11.7082,-0.944065,-1.0809,5.20637,16.2546,0.764328,0.942712
0.28,5.11857,3.81371,0.423518,-0.665203,10.0923,3.56255,0.329711,-1.56221,15.094,3.94175,0.335654,-0.207864,4.7805,8.37001,-0.783864,1.32161,9.94614,8.30555,-0.192283,1.0915,14.6514,8.04987,-1.24519,0.178236,4.81017,12.2159,-0.677906,0.771037,10.4901,11.8482,1.75052,-0.54241,14.7357,11.6974,-0.944076,-1.08092,5.21401,16.264,0.764327,0.942698
0.29,5.12281,3.80706,0.423521,-0.665197,10.0956,3.54693,0.32971,-1.5622,15.0974,3.93967,0.335649,-0.207853,4.77266,8.38323,-0.78386,1.32162,9.94422,8.31646,-0.192275,1.09152,14.6389,8.05165,-1.2452,0.178253,4.8034,12.2236,-0.677903,0.77103,10.5076,11.8428,1.75052,-0.542443,14.7262,11.6866,-0.944088,-1.08095,5.22166,16.2734,0.764326,0.942685
0.3,5.12704,3.80041,0.423524,-0.665191,10.0989,3.53131,0.32971,-1.5622,15.1007,3.93759,0.335644,-0.207841,4.76483,8.39644,-0.783857,1.32164,9.9423,8.32738,-0.192267,1.09155,14.6265,8.05343,-1.2452,0.178272,4.79662,12.2313,-0.6779,0.771023,10.5251,11.8374,1.75053,-0.542477,14.7168,11.6758,-0.9441,-1.08098,5.2293,16.2829,0.764325,0.942672
0.31,5.13128,3.79375,0.423527,-0.665185,10.1022,3.51569,0.32971,-1.56219,15.1041,3.93551,0.33564,-0.20783,4.75699,8.40966,-0.783853,1.32165,9.94038,8.33829,-0.192258,1.09158,14.614,8.05521,-1.2452,0.178291,4.78984,12.239,-0.677898,0.771015,10.5427,11.832,1.75053,-0.542512,14.7074,11.665,-0.944112,-1.08101,5.23694,16.2923,0.764324,0.942659
0.32,5.13551,3.7871,0.42353,-0.66518,10.1055,3.50006,0.32971,-1.56219,15.1074,3.93343,0.335635,-0.207818,4.74915,8.42288,-0.78385,1.32167,9.93845,8.34921,-0.192249,1.09161,14.6016,8.057,-1.24521,0.178311,4.78306,12.2467,-0.677895,0.771007,10.5602,11.8265,1.75053,-0.542547,14.6979,11.6542,-0.944125,-1.08104,5.24459,16.3017,0.764323,0.942646
0.33,5.13975,3.78045,0.423533,-0.665175,10.1088,3.48444,0.32971,-1.56218,15.1108,3.93136,0.33563,-0.207807,4.74131,8.43609,-0.783846,1.32168,9.93653,8.36013,-0.19224,1.09164,14.5891,8.05878,-1.24521,0.178332,4.77628,12.2545,-0.677892,0.770999,10.5777,11.8211,1.75054,-0.542583,14.6885,11.6434,-0.944138,-1.08107,5.25223,16.3111,0.764321,0.942633
0.34,5.14398,3.7738,0.423536,-0.66517,10.1121,3.46882,0.32971,-1.56218,15.1141,3.92928,0.335626,-0.207796,4.73347,8.44931,-0.783843,1.3217,9.93461,8.37104,-0.19223,1.09168,14.5767,8.06056,-1.24522,0.178354,4.7695,12.2622,-0.677889,0.770991,10.5952,11.8157,1.75054,-0.542621,14.679,11.6326,-0.944153,-1.0811,5.25987,16.3206,0.76432,0.94262
0.35,5.14822,3.76715,0.42354,-0.665165,10.1154,3.4532,0.32971,-1.56217,15.1175,3.9272,0.335621,-0.207785,4.72563,8.46253,-0.783839,1.32171,9.93269,8.38196,-0.192219,1.09171,14.5642,8.06235,-1.24522,0.178377,4.76272,12.2699,-0.677886,0.770982,10.6127,11.8102,1.75055,-0.542659,14.6696,11.6218,-0.944167,-1.08114,5.26752,16.33,0.764319,0.942607
0.36,5.15245,3.7605,0.423543,-0.66516,10.1187,3.43758,0.32971,-1.56217,15.1209,3.92512,0.335616,-0.207774,4.7178,8.47575,-0.783836,1.32173,9.93076,8.39288,-0.192208,1.09174,14.5517,8.06413,-1.24523,0.1784,4.75594,12.2776,-0.677883,0.770973,10.6302,11.8048,1.75056,-0.542698,14.6602,11.6109,-0.944183,-1.08117,5.27516,16.3394,0.764318,0.942594
