# t x1 v1 x2 v2
2.44000000 -1.71550328 -0.10483306 -1.20259857 -1.31846369
2.45000000 -1.71644361 -0.08331048 -1.21570558 -1.30284990
2.46000000 -1.71717104 -0.06225246 -1.22865381 -1.28670811
2.47000000 -1.71769019 -0.04165392 -1.24143804 -1.27005323
2.48000000 -1.71800563 -0.02150932 -1.25405321 -1.25290098
2.49000000 -1.71812187 -0.00181269 -1.26649445 -1.23526784
2.50000000 -1.71804336 0.01744234 -1.27875703 -1.21717097
2.51000000 -1.71777448 0.03626250 -1.29083639 -1.19862819
2.52000000 -1.71731954 0.05465482 -1.30272816 -1.17965793
2.53000000 -1.71668278 0.07262664 -1.31442818 -1.16027914
2.54000000 -1.71586838 0.09018550 -1.32593245 -1.14051127
2.55000000 -1.71488042 0.10733921 -1.33723718 -1.12037418
2.56000000 -1.71372292 0.12409572 -1.34833877 -1.09988810
2.57000000 -1.71239980 0.14046315 -1.35923384 -1.07907358
2.58000000 -1.71091493 0.15644977 -1.36991922 -1.05795139
2.59000000 -1.70927205 0.17206392 -1.38039192 -1.03654250
2.60000000 -1.70747486 0.18731403 -1.39064918 -1.01486799
2.61000000 -1.70552696 0.20220862 -1.40068846 -0.99294902
2.62000000 -1.70343185 0.21675620 -1.41050742 -0.97080674
2.63000000 -1.70119296 0.23096533 -1.42010392 -0.94846226
2.64000000 -1.69881364 0.24484457 -1.42947606 -0.92593659
2.65000000 -1.69629714 0.25840244 -1.43862212 -0.90325055
2.66000000 -1.69364663 0.27164747 -1.44754060 -0.88042479
2.67000000 -1.69086520 0.28458812 -1.45623022 -0.85747966
2.68000000 -1.68795586 0.29723279 -1.46468987 -0.83443522
2.69000000 -1.68492151 0.30958984 -1.47291866 -0.81131118
2.70000000 -1.68176499 0.32166752 -1.48091589 -0.78812685
2.71000000 -1.67848906 0.33347403 -1.48868105 -0.76490110
2.72000000 -1.67509639 0.34501744 -1.49621383 -0.74165234
2.73000000 -1.67158956 0.35630576 -1.50351408 -0.71839849
2.74000000 -1.66797110 0.36734684 -1.51058184 -0.69515691
2.75000000 -1.66424342 0.37814846 -1.51741732 -0.67194441
2.76000000 -1.66040890 0.38871826 -1.52402088 -0.64877724
2.77000000 -1.65646981 0.39906377 -1.53039307 -0.62567101
2.78000000 -1.65242835 0.40919239 -1.53653456 -0.60264074
2.79000000 -1.64828666 0.41911137 -1.54244618 -0.57970080
2.80000000 -1.64404679 0.42882786 -1.54812892 -0.55686492
2.81000000 -1.63971075 0.43834887 -1.55358387 -0.53414615
2.82000000 -1.63528045 0.44768125 -1.55881227 -0.51155691
2.83000000 -1.63075773 0.45683174 -1.56381548 -0.48910893
2.84000000 -1.62614440 0.46580693 -1.56859496 -0.46681327
2.85000000 -1.62144216 0.47461330 -1.57315229 -0.44468035
2.86000000 -1.61665267 0.48325715 -1.57748914 -0.42271990
2.87000000 -1.61177753 0.49174468 -1.58160729 -0.40094099
2.88000000 -1.60681828 0.50008194 -1.58550860 -0.37935204
2.89000000 -1.60177638 0.50827485 -1.58919499 -0.35796085
2.90000000 -1.59665324 0.51632920 -1.59266850 -0.33677456
2.91000000 -1.59145024 0.52425064 -1.59593119 -0.31579970
2.92000000 -1.58616866 0.53204469 -1.59898522 -0.29504218
2.93000000 -1.58080975 0.53971676 -1.60183278 -0.27450735
2.94000000 -1.57537471 0.54727212 -1.60447612 -0.25419994
2.95000000 -1.56986468 0.55471592 -1.60691755 -0.23412415
2.96000000 -1.56428075 0.56205319 -1.60915939 -0.21428364
2.97000000 -1.55862395 0.56928884 -1.61120401 -0.19468151
2.98000000 -1.55289529 0.57642766 -1.61305382 -0.17532040
2.99000000 -1.54709571 0.58347433 -1.61471123 -0.15620242
3.00000000 -1.54122610 0.59043343 -1.61617869 -0.13732923
3.01000000 -1.53528732 0.59730942 -1.61745864 -0.11870206
3.02000000 -1.52928017 0.60410664 -1.61855355 -0.10032168
3.03000000 -1.52320543 0.61082936 -1.61946589 -0.08218846
3.04000000 -1.51706382 0.61748173 -1.62019814 -0.06430239
3.05000000 -1.51085602 0.62406780 -1.62075276 -0.04666309
3.06000000 -1.50458267 0.63059153 -1.62113222 -0.02926980
3.07000000 -1.49824438 0.63705679 -1.62133898 -0.01212147
3.08000000 -1.49184172 0.64346736 -1.62137547 0.00478329
3.09000000 -1.48537520 0.64982694 -1.62124412 0.02144616
3.10000000 -1.47884534 0.65613913 -1.62094734 0.03786908
3.11000000 -1.47225257 0.66240746 -1.62048753 0.05405429
3.12000000 -1.46559732 0.66863539 -1.61986704 0.07000422
3.13000000 -1.45887998 0.67482628 -1.61908822 0.08572156
3.14000000 -1.45210091 0.68098345 -1.61815338 0.10120920
3.15000000 -1.44526042 0.68711012 -1.61706479 0.11647023
3.16000000 -1.43835880 0.69320945 -1.61582472 0.13150791
3.17000000 -1.43139631 0.69928456 -1.61443537 0.14632566
3.18000000 -1.42437318 0.70533846 -1.61289892 0.16092707
3.19000000 -1.41728960 0.71137415 -1.61121753 0.17531584
3.20000000 -1.41014574 0.71739454 -1.60939330 0.18949584
3.21000000 -1.40294175 0.72340249 -1.60742830 0.20347100
3.22000000 -1.39567773 0.72940081 -1.60532455 0.21724538
3.23000000 -1.38835376 0.73539227 -1.60308405 0.23082314
3.24000000 -1.38096990 0.74137957 -1.60070873 0.24420851
3.25000000 -1.37352617 0.74736538 -1.59820050 0.25740577
