t	x	v	state	E_total
21.2	-1.31124	1.95157	1	3.84955
21.3	-1.06667	2.91829	1	4.6749
21.4	-0.837254	1.13581	1	4.71369
21.5	-0.850163	-1.49898	1	4.86939
21.6	-1.11512	-3.06818	1	5.42634
21.7	-1.41466	-2.97853	1	7.02747
21.8	-1.66927	-2.30422	1	6.83768
21.9	-1.88913	-2.96613	1	7.17069
22	-2.22952	-2.93336	1	5.73678
22.1	-2.46912	-1.79399	1	4.5412
22.2	-2.59529	-0.711469	1	3.97364
22.3	-2.64672	-0.332967	1	4.09744
22.4	-2.63049	0.358773	1	4.00493
22.5	-2.54891	1.04081	1	3.97232
22.6	-2.40127	1.49333	1	3.62298
22.7	-2.22804	1.89711	1	3.22474
22.8	-2.01456	2.39582	1	2.96096
22.9	-1.89394	-0.141928	1	2.66154
23	-2.03186	-2.36181	1	2.98823
23.1	-2.22017	-1.63914	1	2.71946
23.2	-2.33474	-0.702568	1	2.33895
23.3	-2.37464	-0.159163	1	2.35414
23.4	-2.3897	0.142233	1	2.44571
23.5	-2.3503	0.597533	1	2.3679
23.6	-2.23626	1.45814	1	2.53971
23.7	-2.04308	2.08582	1	2.44455
23.8	-1.92279	0.032784	1	1.9309
23.9	-2.02018	-1.83781	1	1.81491
24	-2.1898	-1.36828	1	2.12232
24.1	-2.30554	-0.744481	1	2.18673
24.2	-2.32365	0.333291	1	2.07833
24.3	-2.2547	0.983143	1	2.07519
24.4	-2.13436	1.45086	1	1.89225
24.5	-1.9714	1.45175	1	1.76872
24.6	-1.9963	-1.67674	1	1.49825
24.7	-2.13467	-0.659554	1	1.05916
24.8	-2.1722	0.178413	1	1.09216
24.9	-2.1242	0.743543	1	1.05271
25	-2.0144	1.44693	1	1.13683
25.1	-1.86649	1.76699	0	1.56113
25.2	-1.65913	2.31448	0	2.6784
25.3	-1.42212	2.34465	0	2.74869
25.4	-1.1923	2.40886	0	2.9013
25.5	-0.96765	2.22583	0	2.47715
25.6	-0.716778	2.36081	0	2.78671
25.7	-0.491668	2.30331	0	2.65262
25.8	-0.248125	2.4238	0	2.93741
25.9	-0.0199381	2.32582	0	2.70471
26	0.203021	2.09346	0	2.19128
26.1	0.405529	1.87395	0	1.75585
26.2	0.611002	2.13057	0	2.26967
26.3	0.805381	1.80316	0	1.6257
26.4	1.01309	2.39342	0	2.86424
26.5	1.23084	1.85776	0	1.72563
26.6	1.38572	1.54358	0	1.19132
26.7	1.55186	1.67694	0	1.40606
26.8	1.7632	2.03431	0	2.06921
26.9	1.95225	1.87898	0	1.76528
27	2.14731	1.79474	0	1.61055
27.1	2.33414	1.75728	0	1.54402
27.2	2.4817	1.2314	0	0.758169
27.3	2.61625	1.56333	0	1.222
27.4	2.79909	1.87911	0	1.76552
27.5	3.00124	1.79638	0	1.61348
27.6	3.15927	1.44938	0	1.05035
27.7	3.31248	1.57069	0	1.23353
27.8	3.48562	2.01788	0	2.03592
27.9	3.66873	1.4002	0	0.980285
28	3.78185	0.945649	0	0.447126
28.1	3.87721	1.06033	0	0.562151
28.2	4.01356	1.57503	0	1.24036
28.3	4.18448	1.77747	0	1.57969
28.4	4.32081	1.15411	0	0.665987
28.5	4.43659	1.26616	0	0.801581
28.6	4.57569	1.42983	0	1.02221
28.7	4.69758	1.22114	0	0.745595
28.8	4.82032	1.26918	0	0.805409
28.9	4.9356	1.03598	0	0.536632
29	5.03879	1.00176	0	0.501765
29.1	5.10954	0.815272	0	0.332334
29.2	5.19721	0.601432	0	0.18086
29.3	5.25328	0.83974	0	0.352582
29.4	5.35472	1.16866	0	0.682882
29.5	5.45863	0.964909	0	0.465524
29.6	5.55499	0.79064	0	0.312555
29.7	5.64935	0.88171	0	0.388706
29.8	5.75881	1.15268	0	0.66433
29.9	5.84577	1.00884	0	0.508878
30	5.93914	0.92933	0	0.431827
30.1	6.04723	1.00015	0	0.500147
30.2	6.15316	1.16747	0	0.681492
30.3	6.26325	1.00772	0	0.507754
30.4	6.36834	1.20204	0	0.722446
30.5	6.45574	0.64705	0	0.209337
30.6	6.53088	0.876444	0	0.384077
30.7	6.62792	1.05392	0	0.555374
30.8	6.72839	1.05163	0	0.552964
30.9	6.81333	0.799641	0	0.319713
31	6.85497	0.3363	0	0.0565488
31.1	6.88168	0.0666227	0	0.00221929
31.2	6.9078	0.414315	0	0.0858285
31.3	6.95145	0.417849	0	0.087299
31.4	6.99149	0.56133	0	0.157546
31.5	7.04892	0.395844	0	0.0783462
31.6	7.10259	0.49363	0	0.121835
31.7	7.12728	0.218159	0	0.0237966
31.8	7.15745	0.421761	0	0.0889411
31.9	7.1858	0.258034	0	0.0332908
32	7.20213	0.0427819	0	0.000915147
32.1	7.22049	0.28215	0	0.0398044
32.2	7.26926	0.461025	0	0.106272
32.3	7.30167	0.181313	0	0.0164373
