# t x1 v1 x2 v2
0.13300000 -0.08132615 -1.14343405 0.33923167 0.56101391
0.13400000 -0.08247282 -1.14951519 0.33979481 0.56506047
0.13500000 -0.08362518 -1.15494697 0.34036179 0.56795252
0.13600000 -0.08478271 -1.15945730 0.34093072 0.57010758
0.13700000 -0.08594410 -1.16369883 0.34150201 0.57274701
0.13800000 -0.08711011 -1.16860195 0.34207621 0.57567783
0.13900000 -0.08828130 -1.17366607 0.34265336 0.57892809
0.14000000 -0.08945744 -1.17831299 0.34323407 0.58230945
0.14100000 -0.09063793 -1.18238162 0.34381798 0.58528498
0.14200000 -0.09182221 -1.18682718 0.34440464 0.58740317
0.14300000 -0.09301158 -1.19158610 0.34499279 0.58974510
0.14400000 -0.09420538 -1.19539328 0.34558413 0.59271225
0.14500000 -0.09540237 -1.19823378 0.34617821 0.59517963
0.14600000 -0.09660185 -1.20097056 0.34677449 0.59781849
0.14700000 -0.09780431 -1.20401025 0.34737385 0.60092469
0.14800000 -0.09900987 -1.20810995 0.34797634 0.60398066
0.14900000 -0.10022053 -1.21264134 0.34858181 0.60658730
0.15000000 -0.10143515 -1.21633266 0.34918951 0.60967311
0.15100000 -0.10265319 -1.21931763 0.34980116 0.61315883
0.15200000 -0.10387379 -1.22197261 0.35041583 0.61557237
0.15300000 -0.10509714 -1.22546433 0.35103230 0.61769430
0.15400000 -0.10632471 -1.22909006 0.35165122 0.62001645
0.15500000 -0.10755532 -1.23255376 0.35227233 0.62276131
0.15600000 -0.10878982 -1.23612360 0.35289674 0.62558384
0.15700000 -0.11002756 -1.23979236 0.35352350 0.62772232
0.15800000 -0.11126941 -1.24331028 0.35415219 0.63019648
0.15900000 -0.11251419 -1.24544489 0.35478389 0.63252520
0.16000000 -0.11376030 -1.24819449 0.35541724 0.63455315
0.16100000 -0.11501057 -1.25124994 0.35605300 0.63714683
0.16200000 -0.11626280 -1.25325750 0.35669153 0.64013552
0.16300000 -0.11751709 -1.25507114 0.35733327 0.64237963
