# t K1 K2 U1 U2 Uc E_tot
0.12400000 0.59419625 0.14097198 -0.74515397 0.51402338 0.41125080 0.91528844
0.12500000 0.60199807 0.14253620 -0.75474283 0.51102619 0.41455465 0.91537228
0.12600000 0.60979387 0.14434377 -0.76431791 0.50801894 0.41789329 0.91573195
0.12700000 0.61644367 0.14612281 -0.77386621 0.50499613 0.42126658 0.91496298
0.12800000 0.62275623 0.14766893 -0.78337726 0.50196447 0.42467044 0.91368281
0.12900000 0.62942242 0.14943735 -0.79285118 0.49892267 0.42810619 0.91303746
0.13000000 0.63544533 0.15125667 -0.80228811 0.49586802 0.43157575 0.91185766
0.13100000 0.64090450 0.15300766 -0.81167326 0.49280280 0.43507545 0.91011714
0.13200000 0.64689426 0.15503481 -0.82100829 0.48972673 0.43860661 0.90925413
0.13300000 0.65372072 0.15736830 -0.83029455 0.48663522 0.44217220 0.90960188
0.13400000 0.66069258 0.15964667 -0.83953757 0.48352754 0.44577489 0.91010411
0.13500000 0.66695125 0.16128503 -0.84872854 0.48040633 0.44941238 0.90932645
0.13600000 0.67217062 0.16251133 -0.85786102 0.47728211 0.45307982 0.90718285
0.13700000 0.67709749 0.16401957 -0.86692242 0.47415285 0.45677542 0.90512291
0.13800000 0.68281526 0.16570248 -0.87591687 0.47101565 0.46050225 0.90411877
0.13900000 0.68874602 0.16757887 -0.88484623 0.46787062 0.46426170 0.90361098
0.14000000 0.69421075 0.16954215 -0.89370663 0.46471461 0.46805487 0.90281574
0.14100000 0.69901315 0.17127925 -0.90249118 0.46154979 0.47187983 0.90123084
0.14200000 0.70427938 0.17252124 -0.91119389 0.45837886 0.47573465 0.89972024
0.14300000 0.70993872 0.17389964 -0.91982207 0.45520881 0.47961956 0.89884466
0.14400000 0.71448255 0.17565391 -0.92836870 0.45203062 0.48353703 0.89733541
0.14500000 0.71788209 0.17711939 -0.93682293 0.44884699 0.48748351 0.89450906
0.14600000 0.72116515 0.17869347 -0.94517819 0.44566101 0.49145644 0.89179788
0.14700000 0.72482034 0.18055524 -0.95343621 0.44246820 0.49545897 0.88986654
0.14800000 0.72976483 0.18239632 -0.96159611 0.43926850 0.49949167 0.88932521
0.14900000 0.73524951 0.18397408 -0.96966936 0.43606297 0.50355884 0.88917603
0.15000000 0.73973257 0.18585065 -0.97764625 0.43285578 0.50765647 0.88844922
0.15100000 0.74336774 0.18798187 -0.98552127 0.42963817 0.51178734 0.88725386
0.15200000 0.74660853 0.18946467 -0.99328714 0.42641519 0.51594764 0.88514889
0.15300000 0.75088141 0.19077313 -1.00094360 0.42319354 0.52013516 0.88403963
0.15400000 0.75533118 0.19221020 -1.00849801 0.41996999 0.52435489 0.88336825
0.15500000 0.75959439 0.19391582 -1.01594114 0.41674610 0.52860367 0.88291884
0.15600000 0.76400077 0.19567757 -1.02327648 0.41351637 0.53288621 0.88280444
0.15700000 0.76854255 0.19701765 -1.03049827 0.41028596 0.53719898 0.88254687
0.15800000 0.77291023 0.19857380 -1.03760969 0.40705724 0.54154315 0.88247473
0.15900000 0.77556649 0.20004407 -1.04460230 0.40382482 0.54591874 0.88075181
0.16000000 0.77899474 0.20132885 -1.05146579 0.40059601 0.55031889 0.87977271
0.16100000 0.78281320 0.20297804 -1.05821424 0.39736703 0.55475223 0.87969626
0.16200000 0.78532718 0.20488674 -1.06483409 0.39413633 0.55921449 0.87873065
0.16300000 0.78760178 0.20632579 -1.07132479 0.39090195 0.56370716 0.87721189
0.16400000 0.79039770 0.20789787 -1.07768254 0.38767384 0.56822457 0.87651144
0.16500000 0.79337794 0.20973343 -1.08391287 0.38444054 0.57277556 0.87641461
0.16600000 0.79573100 0.21123239 -1.09000929 0.38120999 0.57735411 0.87551820
0.16700000 0.79832139 0.21263295 -1.09597095 0.37798004 0.58196160 0.87492504
0.16800000 0.80033993 0.21372926 -1.10179825 0.37475484 0.58659701 0.87362279
0.16900000 0.80191026 0.21496857 -1.10748457 0.37153534 0.59125709 0.87218669
0.17000000 0.80276798 0.21692233 -1.11303144 0.36831888 0.59594460 0.87092235
0.17100000 0.80332871 0.21850466 -1.11843108 0.36509800 0.60065948 0.86915976
0.17200000 0.80513357 0.21945379 -1.12368805 0.36188625 0.60539801 0.86818357
0.17300000 0.80672474 0.22113274 -1.12880481 0.35867990 0.61016419 0.86789675
0.17400000 0.80678931 0.22325471 -1.13377615 0.35547249 0.61495875 0.86669912
0.17500000 0.80696274 0.22495972 -1.13859680 0.35226470 0.61977844 0.86536880
0.17600000 0.80714392 0.22630982 -1.14327202 0.34906248 0.62462397 0.86386817
0.17700000 0.80729555 0.22787144 -1.14779631 0.34586549 0.62949211 0.86272828
0.17800000 0.80711907 0.22928924 -1.15217444 0.34267160 0.63438767 0.86129315
0.17900000 0.80597503 0.23057988 -1.15639977 0.33948546 0.63930354 0.85894413
0.18000000 0.80524488 0.23166414 -1.16047382 0.33630469 0.64424211 0.85698201
0.18100000 0.80439791 0.23248998 -1.16439758 0.33313493 0.64920114 0.85482637
0.18200000 0.80293517 0.23335425 -1.16816988 0.32997446 0.65418051 0.85227452
0.18300000 0.80103735 0.23418800 -1.17178956 0.32682481 0.65917814 0.84943874
0.18400000 0.79948001 0.23520875 -1.17525671 0.32368521 0.66419412 0.84731138
0.18500000 0.79901396 0.23645966 -1.17857374 0.32055427 0.66923112 0.84668527
0.18600000 0.79783360 0.23813006 -1.18174354 0.31743072 0.67429267 0.84594351
0.18700000 0.79606552 0.23972099 -1.18476117 0.31431078 0.67937552 0.84471165
0.18800000 0.79520059 0.24124446 -1.18763017 0.31119979 0.68447994 0.84449461
0.18900000 0.79346141 0.24268497 -1.19035142 0.30809384 0.68960890 0.84349770
0.19000000 0.79133320 0.24301090 -1.19292215 0.30499837 0.69475519 0.84117551
0.19100000 0.78945526 0.24333014 -1.19534515 0.30192251 0.69991597 0.83927872
0.19200000 0.78735513 0.24380976 -1.19762008 0.29885745 0.70509499 0.83749724
0.19300000 0.78547997 0.24441906 -1.19974819 0.29581012 0.71028871 0.83624967
0.19400000 0.78381927 0.24505129 -1.20173051 0.29277226 0.71550257 0.83541487
