# t x1 v1 x2 v2
3.17 -1.4301 0.701476 -1.61552 0.14283
3.18 -1.42306 0.707522 -1.61402 0.15749
3.19 -1.41595 0.713551 -1.61238 0.171938
3.2 -1.40879 0.719564 -1.61058 0.186175
3.21 -1.40156 0.725566 -1.60865 0.200207
3.22 -1.39428 0.731558 -1.60658 0.214036
3.23 -1.38693 0.737543 -1.60437 0.227668
3.24 -1.37952 0.743525 -1.60203 0.241107
3.25 -1.37206 0.749505 -1.59955 0.254356
3.26 -1.36453 0.755487 -1.59694 0.267421
3.27 -1.35695 0.761473 -1.5942 0.280305
3.28 -1.3493 0.767466 -1.59134 0.293013
3.29 -1.3416 0.773468 -1.58834 0.30555
3.3 -1.33384 0.779481 -1.58523 0.317919
3.31 -1.32601 0.785508 -1.58199 0.330127
3.32 -1.31813 0.791552 -1.57862 0.342176
3.33 -1.31018 0.797614 -1.57514 0.354072
3.34 -1.30217 0.803698 -1.57154 0.36582
3.35 -1.29411 0.809805 -1.56783 0.377423
3.36 -1.28598 0.815938 -1.56399 0.388887
3.37 -1.27779 0.822098 -1.56005 0.400216
3.38 -1.26953 0.828289 -1.55599 0.411415
3.39 -1.26122 0.834513 -1.55182 0.422488
3.4 -1.25284 0.840771 -1.54754 0.433439
3.41 -1.24441 0.847065 -1.54315 0.444275
3.42 -1.2359 0.853399 -1.53866 0.454997
3.43 -1.22734 0.859774 -1.53405 0.465613
3.44 -1.21871 0.866192 -1.52934 0.476125
3.45 -1.21001 0.872656 -1.52453 0.486538
3.46 -1.20125 0.879167 -1.51961 0.496857
3.47 -1.19243 0.885727 -1.51459 0.507087
3.48 -1.18354 0.89234 -1.50947 0.51723
3.49 -1.17458 0.899006 -1.50425 0.527292
3.5 -1.16556 0.905728 -1.49893 0.537278
3.51 -1.15647 0.912508 -1.4935 0.54719
3.52 -1.14731 0.919348 -1.48798 0.557034
3.53 -1.13808 0.92625 -1.48236 0.566814
3.54 -1.12878 0.933216 -1.47665 0.576533
3.55 -1.11942 0.940249 -1.47083 0.586197
3.56 -1.10998 0.94735 -1.46492 0.595809
3.57 -1.10047 0.954521 -1.45892 0.605373
3.58 -1.09089 0.961764 -1.45282 0.614893
3.59 -1.08123 0.969082 -1.44662 0.624373
3.6 -1.07151 0.976476 -1.44033 0.633818
3.61 -1.0617 0.983949 -1.43394 0.643231
3.62 -1.05183 0.991502 -1.42746 0.652616
3.63 -1.04187 0.999138 -1.42089 0.661977
3.64 -1.03184 1.00686 -1.41422 0.671318
3.65 -1.02174 1.01467 -1.40746 0.680643
3.66 -1.01155 1.02256 -1.40061 0.689956
3.67 -1.00128 1.03055 -1.39367 0.69926
3.68 -0.990939 1.03863 -1.38663 0.708559
